Time	Filtered_Annual	Fitted_Annual	Residual	Anomaly
20071019	328.141	329.735	-1.594	0
20071020	324.365	327.121	-2.757	0
20071021	320.470	324.393	-3.923	0
20071022	316.397	321.551	-5.154	0
20071023	312.146	318.595	-6.449	0
20071024	307.662	315.526	-7.864	0
20071025	303.044	312.346	-9.302	0
20071026	298.362	309.055	-10.693	0
20071027	293.527	305.654	-12.126	0
20071028	288.541	302.143	-13.603	0
20071029	283.502	298.525	-15.023	0
20071030	278.460	294.799	-16.340	0
20071031	273.435	290.967	-17.532	0
20071101	268.485	287.030	-18.545	0
20071102	263.536	282.989	-19.453	0
20071103	258.546	278.845	-20.299	0
20071104	253.595	274.599	-21.004	0
20071105	248.695	270.252	-21.558	0
20071106	243.806	265.806	-22.001	0
20071107	238.922	261.262	-22.340	0
20071108	234.040	256.621	-22.581	0
20071109	229.140	251.884	-22.744	0
20071110	224.292	247.052	-22.761	0
20071111	219.539	242.128	-22.588	0
20071112	214.855	237.112	-22.257	0
20071113	210.254	232.005	-21.751	0
20071114	205.569	226.810	-21.241	0
20071115	200.660	221.527	-20.867	0
20071116	195.561	216.158	-20.597	0
20071117	190.196	210.705	-20.509	0
20071118	184.614	205.168	-20.554	0
20071119	178.861	199.551	-20.690	0
20071120	172.809	193.853	-21.044	0
20071121	166.416	188.077	-21.661	0
20071122	159.835	182.224	-22.389	0
20071123	153.143	176.296	-23.153	0
20071124	146.312	170.295	-23.983	0
20071125	139.398	164.222	-24.824	0
20071126	132.254	158.079	-25.825	0
20071127	124.768	151.867	-27.100	0
20071128	117.038	145.589	-28.551	0
20071129	109.047	139.246	-30.199	0
20071130	100.988	132.840	-31.852	0
20071201	93.044	126.373	-33.329	0
20071202	85.159	119.846	-34.686	0
20071203	77.416	113.261	-35.845	0
20071204	69.784	106.621	-36.837	0
20071205	62.224	99.926	-37.703	0
20071206	54.882	93.180	-38.297	0
20071207	47.822	86.383	-38.561	0
20071208	40.819	79.538	-38.718	0
20071209	33.756	72.646	-38.890	0
20071210	26.679	65.710	-39.031	0
20071211	19.510	58.732	-39.222	0
20071212	12.441	51.712	-39.272	0
20071213	5.621	44.655	-39.033	0
20071214	-1.088	37.560	-38.648	0
20071215	-7.671	30.431	-38.102	0
20071216	-14.196	23.269	-37.465	0
20071217	-20.765	16.077	-36.842	0
20071218	-27.315	8.855	-36.171	0
20071219	-33.860	1.608	-35.468	0
20071220	-40.427	-5.665	-34.762	0
20071221	-47.009	-12.960	-34.049	0
20071222	-53.657	-20.275	-33.381	0
20071223	-60.404	-27.609	-32.794	0
20071224	-67.086	-34.960	-32.126	0
20071225	-73.596	-42.325	-31.271	0
20071226	-79.971	-49.702	-30.269	0
20071227	-86.147	-57.089	-29.058	0
20071228	-92.224	-64.485	-27.740	0
20071229	-98.283	-71.886	-26.397	0
20071230	-104.218	-79.292	-24.926	0
20071231	-110.020	-86.700	-23.320	0
20080101	-115.787	-94.107	-21.680	0
20080102	-121.557	-101.512	-20.045	0
20080103	-127.350	-108.913	-18.436	0
20080104	-133.216	-116.308	-16.908	0
20080105	-139.074	-123.694	-15.380	0
20080106	-144.873	-131.070	-13.803	0
20080107	-150.688	-138.433	-12.254	0
20080108	-156.521	-145.782	-10.739	0
20080109	-162.354	-153.114	-9.240	0
20080110	-168.195	-160.427	-7.767	0
20080111	-174.030	-167.720	-6.310	0
20080112	-179.847	-174.989	-4.857	0
20080113	-185.695	-182.234	-3.461	0
20080114	-191.605	-189.452	-2.153	0
20080115	-197.561	-196.641	-0.920	0
20080116	-203.577	-203.800	0.223	0
20080117	-209.732	-210.925	1.193	0
20080118	-216.084	-218.015	1.931	0
20080119	-222.655	-225.069	2.414	0
20080120	-229.495	-232.084	2.588	0
20080121	-236.583	-239.058	2.475	0
20080122	-243.909	-245.989	2.079	0
20080123	-251.547	-252.875	1.328	0
20080124	-259.527	-259.715	0.188	0
20080125	-267.815	-266.507	-1.308	0
20080126	-276.407	-273.248	-3.160	0
20080127	-285.328	-279.936	-5.391	0
20080128	-294.574	-286.571	-8.003	0
20080129	-304.224	-293.150	-11.075	0
20080130	-314.339	-299.670	-14.669	0
20080131	-324.905	-306.132	-18.773	0
20080201	-335.951	-312.531	-23.419	0
20080202	-347.060	-318.868	-28.192	0
20080203	-357.905	-325.139	-32.766	0
20080204	-368.537	-331.344	-37.193	0
20080205	-378.762	-337.480	-41.282	0
20080206	-388.726	-343.546	-45.180	0
20080207	-398.550	-349.541	-49.009	0
20080208	-407.911	-355.461	-52.450	0
20080209	-416.706	-361.307	-55.399	0
20080210	-425.300	-367.076	-58.224	0
20080211	-433.865	-372.766	-61.098	0
20080212	-442.340	-378.377	-63.963	0
20080213	-450.861	-383.906	-66.955	0
20080214	-459.062	-389.352	-69.710	0
20080215	-466.670	-394.714	-71.956	0
20080216	-473.916	-399.989	-73.927	0
20080217	-480.756	-405.177	-75.579	0
20080218	-487.244	-410.276	-76.968	0
20080219	-493.506	-415.285	-78.221	0
20080220	-499.411	-420.202	-79.209	0
20080221	-504.938	-425.026	-79.912	0
20080222	-510.138	-429.756	-80.382	1
20080223	-514.997	-434.390	-80.607	1
20080224	-519.538	-438.927	-80.611	1
20080225	-523.787	-443.366	-80.421	1
20080226	-527.489	-447.706	-79.783	0
20080227	-530.462	-451.945	-78.517	0
20080228	-532.737	-456.082	-76.655	0
20080229	-534.205	-460.117	-74.089	0
20080301	-534.964	-464.047	-70.917	0
20080302	-535.094	-467.872	-67.222	0
20080303	-534.420	-471.592	-62.828	0
20080304	-532.898	-475.204	-57.694	0
20080305	-531.003	-478.708	-52.295	0
20080306	-529.043	-482.103	-46.940	0
20080307	-527.000	-485.389	-41.611	0
20080308	-525.103	-488.563	-36.540	0
20080309	-523.091	-491.626	-31.465	0
20080310	-520.777	-494.576	-26.201	0
20080311	-518.525	-497.413	-21.112	0
20080312	-516.411	-500.136	-16.275	0
20080313	-514.109	-502.745	-11.364	0
20080314	-511.492	-505.238	-6.254	0
20080315	-508.572	-507.614	-0.958	0
20080316	-505.214	-509.874	4.661	0
20080317	-501.771	-512.017	10.246	0
20080318	-498.496	-514.042	15.546	0
20080319	-495.171	-515.949	20.778	0
20080320	-491.842	-517.736	25.894	0
20080321	-488.543	-519.405	30.861	0
20080322	-485.227	-520.953	35.726	0
20080323	-482.019	-522.382	40.363	0
20080324	-478.984	-523.690	44.706	0
20080325	-476.049	-524.877	48.828	0
20080326	-473.207	-525.943	52.736	0
20080327	-470.512	-526.888	56.375	0
20080328	-467.969	-527.711	59.742	0
20080329	-465.739	-528.412	62.673	0
20080330	-463.955	-528.992	65.036	0
20080331	-462.611	-529.449	66.838	0
20080401	-461.784	-529.785	68.001	0
20080402	-461.473	-529.998	68.525	0
20080403	-461.674	-530.089	68.416	0
20080404	-462.504	-530.059	67.555	0
20080405	-464.023	-529.906	65.883	0
20080406	-465.578	-529.631	64.053	0
20080407	-466.702	-529.234	62.533	0
20080408	-467.455	-528.716	61.261	0
20080409	-467.531	-528.077	60.545	0
20080410	-467.236	-527.316	60.080	0
20080411	-466.799	-526.434	59.635	0
20080412	-465.723	-525.432	59.708	0
20080413	-463.881	-524.309	60.428	0
20080414	-461.793	-523.066	61.274	0
20080415	-459.687	-521.704	62.017	0
20080416	-457.517	-520.223	62.706	0
20080417	-455.492	-518.623	63.132	0
20080418	-453.087	-516.906	63.819	0
20080419	-449.923	-515.070	65.147	0
20080420	-446.343	-513.118	66.775	0
20080421	-442.286	-511.049	68.763	0
20080422	-438.105	-508.865	70.760	0
20080423	-434.186	-506.565	72.379	0
20080424	-430.345	-504.152	73.806	0
20080425	-426.697	-501.624	74.927	0
20080426	-423.244	-498.984	75.739	0
20080427	-419.922	-496.231	76.310	0
20080428	-416.979	-493.368	76.389	0
20080429	-414.539	-490.394	75.855	0
20080430	-412.074	-487.310	75.236	0
20080501	-409.275	-484.118	74.844	0
20080502	-406.245	-480.819	74.574	0
20080503	-402.787	-477.413	74.626	0
20080504	-399.277	-473.901	74.624	0
20080505	-396.009	-470.285	74.275	0
20080506	-392.647	-466.565	73.918	0
20080507	-389.188	-462.743	73.554	0
20080508	-385.645	-458.819	73.174	0
20080509	-381.908	-454.796	72.888	0
20080510	-378.074	-450.673	72.599	0
20080511	-374.172	-446.453	72.281	0
20080512	-370.048	-442.137	72.089	0
20080513	-365.630	-437.725	72.095	0
20080514	-360.925	-433.219	72.294	0
20080515	-355.873	-428.621	72.748	0
20080516	-350.661	-423.931	73.270	0
20080517	-345.430	-419.152	73.722	0
20080518	-340.095	-414.284	74.189	0
20080519	-334.706	-409.329	74.623	0
20080520	-329.170	-404.288	75.118	0
20080521	-323.390	-399.164	75.774	0
20080522	-317.473	-393.956	76.483	0
20080523	-311.428	-388.668	77.239	0
20080524	-305.477	-383.299	77.822	0
20080525	-299.832	-377.853	78.021	0
20080526	-294.466	-372.330	77.864	0
20080527	-289.492	-366.732	77.240	0
20080528	-284.889	-361.061	76.173	0
20080529	-280.630	-355.319	74.689	0
20080530	-276.903	-349.506	72.603	0
20080531	-273.798	-343.625	69.827	0
20080601	-271.076	-337.677	66.601	0
20080602	-268.618	-331.664	63.046	0
20080603	-266.500	-325.588	59.088	0
20080604	-264.650	-319.451	54.801	0
20080605	-263.314	-313.254	49.939	0
20080606	-262.691	-306.998	44.308	0
20080607	-262.638	-300.687	38.049	0
20080608	-263.200	-294.321	31.122	0
20080609	-264.029	-287.903	23.875	0
20080610	-264.806	-281.434	16.629	0
20080611	-265.637	-274.916	9.280	0
20080612	-266.381	-268.352	1.970	0
20080613	-267.121	-261.742	-5.380	0
20080614	-267.953	-255.088	-12.864	0
20080615	-268.613	-248.394	-20.219	0
20080616	-269.005	-241.659	-27.345	0
20080617	-269.554	-234.888	-34.666	0
20080618	-270.493	-228.080	-42.412	0
20080619	-271.753	-221.239	-50.514	0
20080620	-273.500	-214.366	-59.134	0
20080621	-275.391	-207.463	-67.928	0
20080622	-277.167	-200.532	-76.635	0
20080623	-279.104	-193.575	-85.528	1
20080624	-281.187	-186.595	-94.592	1
20080625	-282.945	-179.592	-103.353	1
20080626	-284.109	-172.569	-111.541	1
20080627	-284.590	-165.528	-119.062	1
20080628	-284.113	-158.470	-125.642	1
20080629	-282.935	-151.399	-131.536	1
20080630	-281.199	-144.316	-136.884	1
20080701	-278.521	-137.222	-141.299	1
20080702	-274.801	-130.120	-144.681	1
20080703	-270.192	-123.011	-147.181	1
20080704	-264.688	-115.899	-148.789	1
20080705	-258.254	-108.784	-149.470	1
20080706	-250.931	-101.669	-149.262	1
20080707	-242.373	-94.556	-147.818	1
20080708	-232.333	-87.446	-144.887	1
20080709	-220.893	-80.342	-140.551	1
20080710	-207.940	-73.245	-134.695	1
20080711	-194.597	-66.158	-128.439	1
20080712	-181.761	-59.083	-122.678	1
20080713	-169.235	-52.021	-117.214	1
20080714	-157.517	-44.974	-112.543	1
20080715	-146.207	-37.945	-108.262	1
20080716	-134.961	-30.935	-104.026	1
20080717	-124.627	-23.946	-100.682	1
20080718	-115.470	-16.980	-98.490	1
20080719	-106.438	-10.039	-96.399	1
20080720	-97.019	-3.125	-93.894	1
20080721	-87.359	3.760	-91.119	1
20080722	-77.052	10.614	-87.666	1
20080723	-67.071	17.436	-84.507	1
20080724	-58.143	24.223	-82.366	1
20080725	-49.587	30.974	-80.561	1
20080726	-41.494	37.687	-79.181	0
20080727	-33.448	44.360	-77.809	0
20080728	-24.895	50.992	-75.886	0
20080729	-16.161	57.580	-73.741	0
20080730	-7.147	64.123	-71.270	0
20080731	2.256	70.619	-68.363	0
20080801	12.001	77.066	-65.065	0
20080802	22.376	83.462	-61.086	0
20080803	33.560	89.807	-56.246	0
20080804	44.727	96.097	-51.370	0
20080805	55.354	102.332	-46.979	0
20080806	65.616	108.510	-42.894	0
20080807	75.205	114.629	-39.424	0
20080808	84.640	120.688	-36.048	0
20080809	94.342	126.684	-32.342	0
20080810	103.779	132.617	-28.838	0
20080811	112.920	138.485	-25.565	0
20080812	121.985	144.286	-22.302	0
20080813	130.959	150.019	-19.061	0
20080814	139.950	155.683	-15.733	0
20080815	149.089	161.275	-12.186	0
20080816	158.047	166.794	-8.748	0
20080817	166.638	172.240	-5.601	0
20080818	175.022	177.610	-2.588	0
20080819	183.142	182.903	0.238	0
20080820	191.101	188.119	2.983	0
20080821	199.027	193.254	5.773	0
20080822	206.802	198.309	8.493	0
20080823	214.426	203.282	11.144	0
20080824	221.916	208.172	13.745	0
20080825	229.240	212.977	16.263	0
20080826	236.439	217.697	18.742	0
20080827	243.535	222.329	21.205	0
20080828	250.449	226.874	23.575	0
20080829	257.144	231.330	25.815	0
20080830	263.633	235.695	27.938	0
20080831	269.889	239.969	29.920	0
20080901	275.957	244.151	31.805	0
20080902	281.870	248.240	33.630	0
20080903	287.589	252.235	35.354	0
20080904	293.112	256.134	36.978	0
20080905	298.444	259.937	38.506	0
20080906	303.574	263.644	39.931	0
20080907	308.516	267.252	41.264	0
20080908	313.274	270.762	42.512	0
20080909	317.833	274.173	43.660	0
20080910	322.185	277.483	44.701	0
20080911	326.335	280.693	45.642	0
20080912	330.280	283.801	46.479	0
20080913	334.062	286.807	47.255	0
20080914	337.716	289.710	48.006	0
20080915	341.235	292.509	48.726	0
20080916	344.639	295.205	49.435	0
20080917	347.919	297.796	50.123	0
20080918	351.064	300.282	50.782	0
20080919	354.108	302.662	51.446	0
20080920	357.064	304.937	52.127	0
20080921	359.904	307.105	52.799	0
20080922	362.621	309.166	53.455	0
20080923	365.224	311.120	54.103	0
20080924	367.705	312.967	54.738	0
20080925	370.102	314.707	55.395	0
20080926	372.441	316.338	56.102	0
20080927	374.709	317.862	56.847	0
20080928	376.916	319.277	57.639	0
20080929	379.024	320.583	58.440	0
20080930	380.997	321.782	59.215	0
20081001	382.853	322.871	59.982	0
20081002	384.580	323.852	60.728	0
20081003	386.195	324.725	61.470	0
20081004	387.714	325.489	62.225	0
20081005	389.110	326.144	62.966	0
20081006	390.378	326.691	63.688	0
20081007	391.575	327.129	64.446	0
20081008	392.735	327.460	65.276	0
20081009	393.857	327.682	66.175	0
20081010	394.966	327.797	67.169	0
20081011	396.028	327.804	68.224	0
20081012	397.019	327.704	69.316	0
20081013	397.980	327.497	70.483	0
20081014	398.916	327.184	71.733	0
20081015	399.645	326.764	72.881	0
20081016	400.038	326.239	73.800	0
20081017	400.097	325.608	74.488	0
20081018	399.725	324.873	74.852	0
20081019	399.006	324.034	74.972	0
20081020	397.992	323.090	74.901	0
20081021	396.540	322.044	74.496	0
20081022	394.608	320.895	73.712	0
20081023	392.317	319.645	72.673	0
20081024	389.715	318.293	71.422	0
20081025	386.780	316.840	69.940	0
20081026	383.556	315.288	68.268	0
20081027	379.894	313.637	66.257	0
20081028	375.683	311.887	63.796	0
20081029	371.001	310.040	60.960	0
20081030	365.818	308.097	57.721	0
20081031	360.413	306.058	54.355	0
20081101	355.028	303.924	51.104	0
20081102	349.598	301.696	47.901	0
20081103	344.241	299.375	44.866	0
20081104	338.885	296.963	41.922	0
20081105	333.453	294.460	38.994	0
20081106	328.158	291.867	36.292	0
20081107	323.074	289.185	33.890	0
20081108	317.911	286.415	31.495	0
20081109	312.517	283.559	28.958	0
20081110	306.943	280.618	26.326	0
20081111	301.081	277.592	23.489	0
20081112	295.187	274.484	20.703	0
20081113	289.458	271.293	18.164	0
20081114	283.706	268.023	15.683	0
20081115	277.954	264.672	13.281	0
20081116	272.162	261.245	10.917	0
20081117	266.233	257.740	8.494	0
20081118	260.254	254.160	6.094	0
20081119	254.231	250.506	3.724	0
20081120	248.110	246.780	1.330	0
20081121	241.886	242.983	-1.097	0
20081122	235.536	239.116	-3.580	0
20081123	229.030	235.180	-6.150	0
20081124	222.543	231.178	-8.635	0
20081125	216.194	227.111	-10.917	0
20081126	209.948	222.980	-13.032	0
20081127	203.870	218.787	-14.916	0
20081128	197.881	214.533	-16.652	0
20081129	191.910	210.220	-18.310	0
20081130	186.070	205.849	-19.779	0
20081201	180.383	201.422	-21.040	0
20081202	174.708	196.941	-22.234	0
20081203	168.978	192.408	-23.430	0
20081204	163.188	187.823	-24.635	0
20081205	157.274	183.189	-25.915	0
20081206	151.342	178.507	-27.165	0
20081207	145.466	173.779	-28.313	0
20081208	139.544	169.007	-29.463	0
20081209	133.570	164.192	-30.622	0
20081210	127.610	159.336	-31.726	0
20081211	121.682	154.441	-32.759	0
20081212	115.802	149.509	-33.707	0
20081213	110.007	144.541	-34.534	0
20081214	104.217	139.539	-35.322	0
20081215	98.384	134.505	-36.121	0
20081216	92.557	129.440	-36.883	0
20081217	86.727	124.347	-37.620	0
20081218	80.926	119.227	-38.301	0
20081219	75.191	114.082	-38.891	0
20081220	69.498	108.914	-39.416	0
20081221	63.851	103.725	-39.874	0
20081222	58.261	98.516	-40.255	0
20081223	52.725	93.290	-40.565	0
20081224	47.260	88.047	-40.787	0
20081225	41.877	82.791	-40.914	0
20081226	36.529	77.522	-40.993	0
20081227	31.186	72.243	-41.057	0
20081228	25.859	66.956	-41.097	0
20081229	20.531	61.662	-41.131	0
20081230	15.229	56.363	-41.134	0
20081231	9.979	51.061	-41.083	0
20090101	4.748	45.759	-41.010	0
20090102	-0.464	40.457	-40.921	0
20090103	-5.630	35.157	-40.787	0
20090104	-10.739	29.862	-40.601	0
20090105	-15.784	24.573	-40.357	0
20090106	-20.752	19.292	-40.044	0
20090107	-25.667	14.021	-39.689	0
20090108	-30.545	8.762	-39.307	0
20090109	-35.363	3.517	-38.880	0
20090110	-40.123	-1.713	-38.410	0
20090111	-44.831	-6.926	-37.905	0
20090112	-49.488	-12.120	-37.368	0
20090113	-54.098	-17.293	-36.805	0
20090114	-58.667	-22.443	-36.224	0
20090115	-63.181	-27.570	-35.612	0
20090116	-67.633	-32.669	-34.964	0
20090117	-72.030	-37.741	-34.289	0
20090118	-76.370	-42.784	-33.586	0
20090119	-80.504	-47.795	-32.709	0
20090120	-84.321	-52.772	-31.549	0
20090121	-87.820	-57.715	-30.105	0
20090122	-90.922	-62.622	-28.300	0
20090123	-93.676	-67.490	-26.186	0
20090124	-96.114	-72.318	-23.796	0
20090125	-98.116	-77.104	-21.012	0
20090126	-99.641	-81.848	-17.794	0
20090127	-100.790	-86.546	-14.244	0
20090128	-101.601	-91.198	-10.403	0
20090129	-102.047	-95.801	-6.245	0
20090130	-102.159	-100.355	-1.804	0
20090131	-101.806	-104.858	3.052	0
20090201	-100.889	-109.307	8.418	0
20090202	-99.468	-113.702	14.235	0
20090203	-97.514	-118.042	20.528	0
20090204	-95.665	-122.323	26.658	0
20090205	-94.436	-126.546	32.110	0
20090206	-93.758	-130.709	36.951	0
20090207	-93.937	-134.809	40.872	0
20090208	-94.781	-138.847	44.066	0
20090209	-96.132	-142.819	46.687	0
20090210	-98.491	-146.726	48.234	0
20090211	-102.035	-150.565	48.530	0
20090212	-106.221	-154.335	48.115	0
20090213	-110.801	-158.035	47.234	0
20090214	-115.893	-161.664	45.771	0
20090215	-121.308	-165.220	43.912	0
20090216	-127.621	-168.702	41.081	0
20090217	-135.269	-172.110	36.840	0
20090218	-143.917	-175.440	31.524	0
20090219	-153.654	-178.693	25.040	0
20090220	-163.675	-181.868	18.193	0
20090221	-173.240	-184.963	11.723	0
20090222	-182.583	-187.977	5.393	0
20090223	-191.373	-190.908	-0.464	0
20090224	-199.782	-193.757	-6.025	0
20090225	-208.015	-196.522	-11.493	0
20090226	-215.464	-199.202	-16.262	0
20090227	-221.896	-201.796	-20.100	0
20090228	-228.249	-204.303	-23.947	0
20090301	-235.029	-206.722	-28.307	0
20090302	-242.066	-209.052	-33.014	0
20090303	-249.716	-211.293	-38.423	0
20090304	-257.195	-213.443	-43.752	0
20090305	-263.903	-215.502	-48.401	0
20090306	-270.444	-217.469	-52.975	0
20090307	-276.768	-219.344	-57.424	0
20090308	-282.778	-221.125	-61.653	0
20090309	-288.610	-222.812	-65.798	0
20090310	-294.025	-224.404	-69.621	0
20090311	-298.896	-225.901	-72.994	0
20090312	-303.481	-227.302	-76.179	0
20090313	-307.871	-228.607	-79.264	0
20090314	-311.967	-229.815	-82.153	1
20090315	-315.816	-230.925	-84.891	1
20090316	-319.050	-231.937	-87.113	1
20090317	-321.370	-232.851	-88.519	1
20090318	-322.867	-233.666	-89.200	1
20090319	-323.400	-234.382	-89.018	1
20090320	-323.043	-234.999	-88.044	1
20090321	-321.880	-235.516	-86.364	1
20090322	-319.670	-235.932	-83.737	1
20090323	-316.327	-236.249	-80.078	1
20090324	-312.723	-236.465	-76.258	0
20090325	-309.445	-236.580	-72.865	0
20090326	-306.433	-236.595	-69.838	0
20090327	-304.096	-236.509	-67.587	0
20090328	-301.994	-236.322	-65.672	0
20090329	-299.804	-236.034	-63.771	0
20090330	-298.182	-235.645	-62.538	0
20090331	-297.279	-235.154	-62.124	0
20090401	-296.476	-234.563	-61.912	0
20090402	-295.522	-233.872	-61.650	0
20090403	-294.456	-233.079	-61.377	0
20090404	-293.024	-232.186	-60.838	0
20090405	-291.881	-231.192	-60.688	0
20090406	-291.495	-230.099	-61.396	0
20090407	-291.456	-228.905	-62.551	0
20090408	-291.847	-227.612	-64.236	0
20090409	-292.133	-226.219	-65.914	0
20090410	-291.759	-224.728	-67.031	0
20090411	-290.965	-223.138	-67.827	0
20090412	-289.561	-221.450	-68.111	0
20090413	-287.585	-219.664	-67.922	0
20090414	-285.153	-217.781	-67.373	0
20090415	-281.879	-215.801	-66.078	0
20090416	-277.590	-213.725	-63.865	0
20090417	-273.008	-211.553	-61.455	0
20090418	-268.544	-209.286	-59.258	0
20090419	-264.061	-206.925	-57.136	0
20090420	-259.828	-204.470	-55.358	0
20090421	-255.306	-201.922	-53.384	0
20090422	-250.070	-199.282	-50.789	0
20090423	-244.585	-196.550	-48.035	0
20090424	-238.838	-193.727	-45.111	0
20090425	-232.784	-190.814	-41.970	0
20090426	-226.549	-187.812	-38.737	0
20090427	-219.986	-184.722	-35.264	0
20090428	-213.030	-181.544	-31.485	0
20090429	-205.893	-178.280	-27.612	0
20090430	-198.666	-174.931	-23.735	0
20090501	-191.310	-171.496	-19.814	0
20090502	-183.890	-167.979	-15.912	0
20090503	-176.153	-164.379	-11.774	0
20090504	-167.898	-160.697	-7.201	0
20090505	-159.225	-156.935	-2.290	0
20090506	-150.058	-153.094	3.037	0
20090507	-140.491	-149.175	8.684	0
20090508	-130.629	-145.179	14.550	0
20090509	-120.319	-141.107	20.788	0
20090510	-109.533	-136.961	27.428	0
20090511	-98.704	-132.741	34.037	0
20090512	-88.110	-128.450	40.340	0
20090513	-77.752	-124.088	46.336	0
20090514	-67.843	-119.656	51.813	0
20090515	-58.170	-115.156	56.987	0
20090516	-48.584	-110.590	62.006	0
20090517	-39.416	-105.959	66.543	0
20090518	-30.743	-101.263	70.520	0
20090519	-22.331	-96.505	74.174	0
20090520	-14.109	-91.686	77.577	0
20090521	-6.101	-86.808	80.707	1
20090522	1.782	-81.871	83.653	1
20090523	9.229	-76.878	86.108	1
20090524	16.019	-71.830	87.849	1
20090525	22.299	-66.729	89.027	1
20090526	28.007	-61.575	89.582	1
20090527	33.601	-56.371	89.972	1
20090528	39.487	-51.119	90.606	1
20090529	45.528	-45.819	91.348	1
20090530	51.910	-40.474	92.384	1
20090531	58.509	-35.085	93.594	1
20090601	65.193	-29.654	94.847	1
20090602	72.300	-24.182	96.482	1
20090603	79.947	-18.672	98.619	1
20090604	87.623	-13.125	100.748	1
20090605	95.058	-7.542	102.600	1
20090606	102.327	-1.925	104.252	1
20090607	109.231	3.723	105.508	1
20090608	116.190	9.402	106.788	1
20090609	123.521	15.109	108.413	1
20090610	130.892	20.842	110.050	1
20090611	138.324	26.601	111.724	1
20090612	145.699	32.382	113.317	1
